"component","origin","license","copyright"
"threadpoolctl","https://github.com/joblib/threadpoolctl","['BSD-3-Clause']","['Thomas Moreau']"
"tinycss2","https://github.com/Kozea/tinycss2","['BSD-3-Clause']","['Simon Sapin and contributors']"
"tokenizers","https://github.com/huggingface/tokenizers","['Apache-2.0']","['N-API for']"
"toolz","https://github.com/pytoolz/toolz","['BSD']","['https://raw.github.com/pytoolz/toolz/master/AUTHORS.md']"
"torch","pypi:torch","['BSD-3-Clause']","['PyTorch Team']"
"torchmetrics","https://github.com/Lightning-AI/torchmetrics","['Apache-2.0']","['Lightning-AI et al.']"
"tornado","https://github.com/tornadoweb/tornado","['Apache-2.0']","['Facebook']"
"toto-ts","pypi:toto-ts","['Apache-2.0']","['DataDog, Inc.']"
"tqdm","https://github.com/tqdm/tqdm","['MIT AND MPL-2.0']","['Casper da Costa-Luis casperdcl (https://github.com/casperdcl)', 'Noam Yorav-Raphael', 'noamraph', 'original author']"
"traitlets","https://github.com/ipython/traitlets","['BSD-3-Clause License']","['IPython Development Team']"
"transformers","https://github.com/huggingface/transformers","['Apache-2.0']","['- NVIDIA Corporation and The HuggingFace Inc. team', '- The Hugging Face team', '20121', 'ABEJA, Inc. and The HuggingFace Inc. team', 'AI21 Labs Ltd. and the HuggingFace Inc. team', 'ASAPP Inc. and The HuggingFace Inc. team', 'ASAPP Inc. and the HuggingFace Inc. team', 'Adept AI and the HuggingFace Inc. team', 'Advanced Micro Devices, Inc.', 'Advanced Micro Devices, Inc. and The HuggingFace Inc. team', 'AlQuraishi Laboratory', 'Albert Gu', 'Alexander Kirillov', 'Alibaba Group and The HuggingFace Inc. team', 'Alibaba Group and the HuggingFace Inc. team', 'Alibaba Research and The HuggingFace Inc. team', 'Allegro.pl', 'Amazon and The HuggingFace Inc. team', 'Amazon.com, Inc. or its affiliates', 'Amir Gholami', 'Answer.AI', 'Apple Inc. and The HuggingFace Inc. team', 'Arman Cohan and The HuggingFace Inc. team', 'BNRist (Tsinghua University)', 'Baidu Inc and The HuggingFace Inc. team', 'BigCode and the HuggingFace Inc. team', 'Bo Peng and HuggingFace Inc. team', 'CNRS', 'Chao Pang', 'Cohere Inc. HuggingFace Inc. team', 'Cohere and The HuggingFace Inc. team', 'Cohere team', 'DPR Authors', 'DPR authors', 'Databricks Mosaic Research and The HuggingFace Inc. team', 'DeepMind Technologies Limited', 'Deepmind and The HuggingFace Inc. team', 'Deepseek AI and The HuggingFace Team', 'Descript and The HuggingFace Inc. team', 'Ecole Polytechnique and the HuggingFace Inc. team', 'EleutherAI and The HuggingFace Inc. team', 'EleutherAI and the HuggingFace Inc. team', 'Facebook AI Research', 'Facebook AI Research (FAIR)', 'Facebook AI Research (FAIR) and The HuggingFace Inc. team', 'Facebook AI Research The HuggingFace Inc. team', 'Facebook AI Research and The HuggingFace Inc. team', 'Facebook AI Research and the HuggingFace Inc. team', 'Facebook AI and The HuggingFace Inc. team', 'Facebook Inc. and the HuggingFace Inc. team', 'Facebook, Inc and the HuggingFace Inc. team', 'Facebook, Inc. and its affiliates', 'Google AI', 'Google AI The HuggingFace Inc. team', 'Google AI and The HuggingFace Inc. team', 'Google AI and The HuggingFace Team', 'Google Brain and Carnegie Mellon University', 'Google Brain and the HuggingFace Inc. team', 'Google Inc.', 'Google Inc. HuggingFace Inc. team', 'Google Inc. and The HuggingFace Inc. team', 'Google LLC and HuggingFace Inc. team', 'Google LLC.', 'Google Research', 'Google Research The HuggingFace Inc. team', 'Google Research and The HuggingFace Inc. team', 'Google Research, Inc. and The HuggingFace Inc. team', 'Google and HuggingFace Inc.', 'Google and The HuggingFace Inc. team', 'HUST-VL and The HuggingFace Inc. team', 'Haifeng Wang The HuggingFace Inc. team', 'Haifeng Wang and The HuggingFace Inc. team', 'Hao Tan', 'Hao Tian', 'Hua Wu', 'Huazhong University of Science & Technology and The HuggingFace Inc. team', 'Hugging Face', 'HuggingFace Inc.', 'HuggingFace Inc. Team and Bigscience Workshop', 'HuggingFace Inc. team', 'HuggingFace Inc. team and BigScience', 'HuggingFace Inc. team and MosaicML NLP team', 'IBM & Hugging Face', 'IBM and HuggingFace Inc. team', 'IBM and the HuggingFace Inc. team', 'IDEA Research and The HuggingFace Inc. team', 'IMS Toucan', 'Inria', 'Intel Labs', 'Intel Labs and The HuggingFace Inc. team', 'Iz Beltagy', 'JetMoe AI and the HuggingFace Inc. team', 'KAIST and The HuggingFace Inc. team', 'Kurt Keutzer', 'Kyutai', 'Kyutai and The HuggingFace Inc. team', 'LightOn', 'LongT5', 'LongT5 Authors and HuggingFace Inc. team', 'MBZUAI and The HuggingFace Inc. team', 'MURGe-Lab and The HuggingFace Inc. team', 'Matthew E. Peters', 'Mesh TensorFlow', 'Meta AI', 'Meta AI Team and the HuggingFace Inc. team', 'Meta AI and The HuggingFace Inc. team', 'Meta Inc. and The HuggingFace Inc. team', 'Meta Inc. and the HuggingFace Inc. team', 'Meta Platforms', 'Meta Platforms Inc. and The HuggingFace Inc. team', 'Meta Platforms and The HuggingFace Inc. team', 'Meta Platforms, Inc.', 'Meta Platforms, Inc. and The HuggingFace Inc. team', 'Meta Platforms, Inc. and affiliates', 'Meta Platforms, Inc.and The HuggingFace Inc. team', 'Meta Research', 'Meta and The HuggingFace Inc. team', 'MetaAI and the HuggingFace Inc. team', 'Michael Mahoney', 'Microsoft', 'Microsoft Corporation', 'Microsoft Corporation and HuggingFace', 'Microsoft Research', 'Microsoft Research & University of Wisconsin-Madison and the HuggingFace Inc. team', 'Microsoft Research Asia and The HuggingFace Inc. team', 'Microsoft Research Asia and the HuggingFace Inc. team', 'Microsoft Research The HuggingFace Inc. team', 'Microsoft Research and HuggingFace Inc. team', 'Microsoft Research and The HuggingFace Inc. team', 'Microsoft Research and The HuggingFace Team', 'Microsoft Research and the HuggingFace Inc. team', 'Microsoft Research, Inc. and The HuggingFace Inc. team', 'Microsoft and The HuggingFace Inc. team', 'Microsoft and the Hugging Face Inc. team', 'Microsoft and the HuggingFace Inc. team', 'Mistral AI and The HuggingFace Inc. team', 'Mistral AI and the HuggingFace Inc. team', 'Mistral and the HuggingFace Inc. team', 'Mixtral AI and The HuggingFace Inc. team', 'Mixtral AI and the HuggingFace Inc. team', 'Mohit Bansal', 'Multimedia Computing Group', 'NAVER AI Labs and The HuggingFace Inc. team', 'NAVER Corp', 'NLTK Project', 'NVIDIA CORPORATION.', 'NVIDIA Corporation and The HuggingFace Team', 'NVIDIA The HuggingFace Inc. team', 'NVIDIA and The HuggingFace Inc. team', 'NVIDIA and The HuggingFace Team', 'Nanjing University and The HuggingFace Inc. team', 'NetEase, Inc. and the HuggingFace Inc. team', 'NllbMoe Authors and HuggingFace Inc. team', 'Om Research Lab and The HuggingFace Inc. team', 'Optuna', 'Ross Wightman', 'SHI Labs and The HuggingFace Inc. team', 'Salesforce and HuggingFace Inc. team', 'Salesforce and The HuggingFace Inc. team', 'Salesforce authors', 'School of EIC', 'Sea AI Lab and The HuggingFace Inc. team', 'Sea AI Labs and The HuggingFace Inc. team', 'SenseTime', 'SenseTime and The HuggingFace Inc. team', 'Sesame and The HuggingFace Inc. team', 'Shuohuan Wang', 'Snapchat Research and The HuggingFace Inc. team', 'Stability AI and The HuggingFace Inc. team', 'Stanford University and The HuggingFace Inc. team', 'Studio Ousia and The HuggingFace Inc. team', 'Studio Ousia and the HuggingFace Inc. team', 'Studio-Ouisa and The HuggingFace Inc. team', 'SwitchTransformers Authors and HuggingFace Inc. team', 'T5 Authors and HuggingFace Inc. team', 'T5 Authors and The HuggingFace Inc. team', 'THUML @ Tsinghua University', 'TKLNDST (Nankai University) and The HuggingFace Inc. team', 'Technological Innovation Institute and HuggingFace Inc. team', 'Tel', 'The Allen Institute for AI team and The HuggingFace Inc. team', 'The Apple Research Team', 'The BAAI Teams Authors and The HuggingFace Inc. team', 'The BigCode team and HuggingFace Inc. team', 'The Bigcode team and HuggingFace Inc. team', 'The BitNet Team and The HuggingFace Inc. team', 'The Eleuther AI and HuggingFace Inc. team', 'The Eleuther AI and The Google Flax Team', 'The EleutherAI and HuggingFace Teams', 'The EleutherAI and The HuggingFace Inc. team', 'The Espnet authors', 'The Facebook AI Research Team Authors and The HuggingFace Inc. team', 'The Facebook AI Research Team and The HuggingFace Inc. team', 'The Facebook Inc. and The HuggingFace Inc. team', 'The Facebook, Inc and The HuggingFace Inc. team', 'The Facebook, Inc. and The HuggingFace Inc. team', 'The Fairseq Authors', 'The Fairseq Authors The HuggingFace Inc. team', 'The Fairseq Authors and The Google Flax Team', 'The Fairseq Authors and The HuggingFace Inc. team', 'The Fairseq Authors and the HuggingFace Inc. team', 'The GLM & ZhipuAI team and HuggingFace Inc. team', 'The GLM4 & ZhipuAI team and HuggingFace Inc. team', 'The Google AI Flax Team Authors', 'The Google AI Language Team Authors', 'The Google AI Language Team Authors and The HuggingFace Inc. team', 'The Google AI Language Team and Facebook, Inc.', 'The Google AI Team', 'The Google Flax Team Authors and The HuggingFace Inc. team', 'The Google Research Team', 'The Hugging Face Team', 'The HuggingFace Inc. & Google team', 'The HuggingFace Inc. team', 'The HuggingFace Inc. team and Google DeepMind', 'The HuggingFace Team', 'The HuggingFace Team The HuggingFace Inc. team', 'The HuggingFace Team and Microsoft Research AI4Science', 'The HuggingFace Team and The HuggingFace Inc. team', 'The HuggingFace and Baidu Team', 'The HuggingFace team', 'The I-BERT Authors Sehoon Kim', 'The Impira Team and the HuggingFace Team', 'The Intel AIA Team Authors', 'The Intel Labs Team', 'The Kakao Enterprise Authors', 'The Kakao Enterprise Authors and the HuggingFace Inc. team', 'The Kyutai and HuggingFace Inc. teams', 'The LAION-AI Team and The HuggingFace Team', 'The LLAMA4 and HuggingFace Inc. team', 'The LongT5 Authors and HuggingFace Inc.', 'The Marian Team', 'The Mega Authors and The HuggingFace Inc. team', 'The Meta AI Authors and The HuggingFace Team', 'The Meta AI Team Authors and The HuggingFace Inc. team', 'The Metaseq Authors and The HuggingFace Inc. team', 'The Microsoft Authors and The HuggingFace Inc. team', 'The Microsoft Research Asia LayoutLM Team', 'The Microsoft Research Asia LayoutLM Team Authors and the HuggingFace Inc. team', 'The Microsoft Research Asia LayoutLM Team authors', 'The Microsoft Research Asia MarkupLM Team authors', 'The OFA-Sys Team', 'The Open AI Team Authors and The HuggingFace Inc. team', 'The OpenAI Authors and The HuggingFace Inc. team', 'The OpenAI Team Authors', 'The OpenAI Team Authors and HuggingFace Inc. team', 'The OpenAI Team Authors and The HuggingFace Team', 'The OpenAI team and The HuggingFace Team', 'The OpenBMB Team and The HuggingFace Inc. team', 'The Pop2Piano Authors and The HuggingFace Inc. team', 'The Qwen Team and The HuggingFace Inc. team', 'The Qwen team', 'The RAG Authors and The HuggingFace Inc. team', 'The REALM authors and The HuggingFace Inc. team', 'The Rhymes-AI Teams', 'The Salesforce Authors and The HuggingFace Team', 'The Salesforce Team', 'The Salesforce authors', 'The SqueezeBert authors and The HuggingFace Inc. team', 'The Suno AI Authors and The HuggingFace Inc. team', 'The T5 Authors and HuggingFace Inc.', 'The TensorFlow Authors', 'The Trajectory Transformers', 'The Trax Authors and The HuggingFace Inc. team', 'The UCLA NLP Authors and The HuggingFace Inc. team', 'The ggml.ai team and The HuggingFace Inc. team', 'TikTok and The HuggingFace Inc. team', 'Toshiyuki', 'Tri Dao', 'UCLA NLP', 'UW-Madison The HuggingFace Inc. team', 'UW-Madison and The HuggingFace Inc. team', 'University of Sydney and The HuggingFace Inc. team', 'University of Wisconsin-Madison and The HuggingFace Inc. team', 'VinAI Research and the HuggingFace Inc. team', 'WeChatAI The HuggingFace Inc. team', 'WeChatAI and The HuggingFace Inc. team', 'WenXiang ZhongzhiCheng LedellWu LiuGuang', 'WenXiang ZhongzhiCheng LedellWu LiuGuang BoWenZhang The HuggingFace Inc. team', 'Xuan Ouyang', 'Yu Sun', 'Zhewei Yao', 'Zyphra Technologies and the HuggingFace Inc. team', 'and HuggingFace Inc. team', 'and The HuggingFace Inc. team', 'and contributors', 'and the HuggingFace Inc. team', 'and the HuggingFace team', 'and the Lxmert Authors', 'bzantium and the HuggingFace Inc. team', 'clefourrier The HuggingFace Inc. team', 'state-spaces/mamba org and HuggingFace Inc. team', 'state-spaces/mamba2 org and HuggingFace Inc. team', 'tanreinama', 'the Big Science', 'the Cohere Inc. team', 'the Falcon authors and HuggingFace Inc. team', 'the Fast authors and HuggingFace Inc. team', 'the Fast authors and The HuggingFace Inc. team', 'the HuggingFace Inc. team', 'the MMS-TTS Authors and the HuggingFace Inc. team', 'weak-kajuma and the HuggingFace Inc. team']"
"typeguard","https://github.com/agronholm/typeguard","['MIT']","['Alex Grönholm']"
"types-PyYAML","https://github.com/python/typeshed","['Apache-2.0']","['Jukka Lehtosalo and contributors']"
"types-pyyaml","types-pyyaml","['Apache-2.0']","[]"
"types-tabulate","https://github.com/python/typeshed","['Apache-2.0 AND MIT']","['Jukka Lehtosalo and contributors']"
"typing-extensions","https://github.com/python/typing_extensions","['(Python-2.0', '0BSD)', 'BSD-3-Clause', 'BSD-3-Clause)', 'GPL-1.0-or-later', 'Python-2.0']","['Corporation for National Research Initiatives', 'Python Software Foundation', 'Stichting Mathematisch Centrum Amsterdam, The Netherlands']"
"typing-inspection","https://github.com/pydantic/typing-inspection","['MIT']","['Pydantic Services Inc.']"
"tzdata","https://github.com/python/tzdata","['Apache-2.0']","['Python Software Foundation']"
"unit-scaling","https://github.com/graphcore-research/unit-scaling","['Apache-2.0']","['Graphcore Ltd.']"
"uri-template","https://gitlab.linss.com/open-source/python/uri-template","['MIT License']","[]"
"urllib3","https://github.com/urllib3/urllib3","['MIT']","['Andrey Petrov and contributors']"
"wcwidth","https://github.com/jquast/wcwidth","['HPND-Markus-Kuhn', 'MIT']","['Jeff Quast']"
"webcolors","https://github.com/ubernostrum/webcolors","['BSD-3-Clause']","['James Bennett']"
"webencodings","https://github.com/gsnedders/python-webencodings","['BSD']","['Geoffrey Sneddon']"
"websocket-client","https://github.com/websocket-client/websocket-client","['Apache-2.0']","['liris']"
"widgetsnbextension","pypi:widgetsnbextension","['BSD 3-Clause License']","['Jupyter Development Team']"
"wrapt","https://github.com/GrahamDumpleton/wrapt","['BSD']","['Graham Dumpleton']"
"xxhash","https://github.com/ifduyue/python-xxhash","['BSD']","['Yue Du']"
"yarl","https://github.com/aio-libs/yarl","['Apache-2.0']","['Andrew Svetlov']"
